"location id","location name",description,lat,lon,icon_color,"icon name"
31465054,Hydrant,Hydrant,34.81069643,-89.97180584,red,Hydrant
31465055,Hydrant,Hydrant,34.81377643,-89.97262584,red,Hydrant
31465056,Hydrant,Hydrant,34.81589643,-89.97378584,red,Hydrant
31465057,Hydrant,Hydrant,34.81611643,-89.97409584,red,Hydrant
31465058,Hydrant,Hydrant,34.82081643,-89.97577584,red,Hydrant
31465059,Hydrant,Hydrant,34.82185643,-89.98514585,red,Hydrant
31465060,Hydrant,Hydrant,34.82148643,-89.98245585,red,Hydrant
31465061,Hydrant,Hydrant,34.82309643,-89.98505585,red,Hydrant
31465062,Hydrant,Hydrant,34.82305643,-89.98827585,red,Hydrant
31465063,Hydrant,Hydrant,34.82304643,-89.98969585,red,Hydrant
31465064,Hydrant,Hydrant,34.82301643,-89.99046585,red,Hydrant
31465065,Hydrant,Hydrant,34.82296643,-89.99228585,red,Hydrant
31465066,Hydrant,Hydrant,34.82297643,-89.99319585,red,Hydrant
31465067,Hydrant,Hydrant,34.82259643,-89.99406585,red,Hydrant
31465068,Hydrant,Hydrant,34.82250643,-89.99099585,red,Hydrant
31465069,Hydrant,Hydrant,34.82154643,-89.99042585,red,Hydrant
31465070,Hydrant,Hydrant,34.82171643,-89.99397585,red,Hydrant
31465071,Hydrant,Hydrant,34.82178643,-89.99211585,red,Hydrant
31465072,Hydrant,Hydrant,34.82171643,-89.99200585,red,Hydrant
31465073,Hydrant,Hydrant,34.82176643,-89.98893585,red,Hydrant
31465074,Hydrant,Hydrant,34.82180643,-89.98718585,red,Hydrant
31465075,Hydrant,Hydrant,34.82297643,-89.98672585,red,Hydrant
31465076,Hydrant,Hydrant,34.82061643,-89.97892585,red,Hydrant
31465077,Hydrant,Hydrant,34.81754643,-89.97440584,red,Hydrant
31465078,Hydrant,Hydrant,34.81686643,-89.97550584,red,Hydrant
31465079,Hydrant,Hydrant,34.81718643,-89.97697585,red,Hydrant
31465080,Hydrant,Hydrant,34.81757643,-89.97733585,red,Hydrant
31465081,Hydrant,Hydrant,34.81807643,-89.97701584,red,Hydrant
31465082,Hydrant,Hydrant,34.81681643,-89.97637584,red,Hydrant
31465083,Hydrant,Hydrant,34.87649644,-90.00213586,red,Hydrant
31465084,Hydrant,Hydrant,34.87854644,-90.00218586,red,Hydrant
31465085,Hydrant,Hydrant,34.87886644,-89.99979586,red,Hydrant
31465086,Hydrant,Hydrant,34.87794644,-89.99978585,red,Hydrant
31465087,Hydrant,Hydrant,34.87865644,-90.00136586,red,Hydrant
31465088,Hydrant,Hydrant,34.87711644,-90.00137586,red,Hydrant
31465089,Hydrant,Hydrant,34.96384750,-89.99329632,red,Hydrant
31465090,Hydrant,Hydrant,34.81731643,-89.99373585,red,Hydrant
31465091,Hydrant,Hydrant,34.81745643,-89.98751585,red,Hydrant
31465092,Hydrant,Hydrant,34.81788643,-89.98885585,red,Hydrant
31465093,Hydrant,Hydrant,34.81656643,-89.98679585,red,Hydrant
31465094,Hydrant,Hydrant,34.81578643,-89.98538585,red,Hydrant
31465095,Hydrant,Hydrant,34.98252583,-89.99478385,red,Hydrant
31465096,Hydrant,Hydrant,34.98291137,-89.99610191,red,Hydrant
31465097,Hydrant,Hydrant,34.98648629,-89.99531764,red,Hydrant
31465098,Hydrant,Hydrant,34.98847774,-89.99453371,red,Hydrant
31465099,Hydrant,Hydrant,34.98751484,-89.99335796,red,Hydrant
31465100,Hydrant,Hydrant,34.98751823,-89.99167422,red,Hydrant
31465101,Hydrant,Hydrant,34.98779938,-89.99610184,red,Hydrant
31465102,Hydrant,Hydrant,34.96809648,-89.98840584,red,Hydrant
31465103,Hydrant,Hydrant,34.96687063,-89.98879918,red,Hydrant
31465104,Hydrant,Hydrant,34.96683876,-89.98797677,red,Hydrant
31465105,Hydrant,Hydrant,34.96803251,-89.98949092,red,Hydrant
31465106,Hydrant,Hydrant,34.97236175,-89.98772963,red,Hydrant
31465107,Hydrant,Hydrant,34.97207516,-89.98868779,red,Hydrant
31465108,Hydrant,Hydrant,34.97189703,-89.98839631,red,Hydrant
31465109,Hydrant,Hydrant,34.97055554,-89.98818806,red,Hydrant
31465110,Hydrant,Hydrant,34.97036476,-89.98963690,red,Hydrant
31465111,Hydrant,Hydrant,34.97202045,-89.98960538,red,Hydrant
31465112,Hydrant,Hydrant,34.99027364,-89.96246330,red,Hydrant
31465113,Hydrant,Hydrant,34.98884282,-89.96255106,red,Hydrant
31465114,Hydrant,Hydrant,34.98739379,-89.96269799,red,Hydrant
31465115,Hydrant,Hydrant,34.98958109,-89.95495818,red,Hydrant
31465116,Hydrant,Hydrant,34.99109448,-90.02388895,red,Hydrant
31465117,Hydrant,Hydrant,34.97887388,-89.97542877,red,Hydrant
31465118,Hydrant,Hydrant,34.97964723,-89.97480927,red,Hydrant
31465119,Hydrant,Hydrant,34.98020221,-89.97399234,red,Hydrant
31465120,Hydrant,Hydrant,34.98019756,-89.97242548,red,Hydrant
31465121,Hydrant,Hydrant,34.97929485,-89.97299921,red,Hydrant
31465122,Hydrant,Hydrant,34.97839902,-89.97454136,red,Hydrant
31465123,Hydrant,Hydrant,34.81825643,-90.00646585,red,Hydrant
31465124,Hydrant,Hydrant,34.84488644,-89.97242585,red,Hydrant
31465125,Hydrant,Hydrant,34.84359643,-89.99814585,red,Hydrant
31465126,Hydrant,Hydrant,34.84353643,-89.99630585,red,Hydrant
31465127,Hydrant,Hydrant,34.99278719,-90.07253919,red,Hydrant
31465128,Hydrant,Hydrant,34.99395866,-90.07395174,red,Hydrant
31465129,Hydrant,Hydrant,34.99390080,-90.07232220,red,Hydrant
31465130,Hydrant,Hydrant,34.99355649,-90.07020866,red,Hydrant
31465131,Hydrant,Hydrant,34.99026538,-90.03358190,red,Hydrant
31465132,Hydrant,Hydrant,34.99011304,-90.03326657,red,Hydrant
31465133,Hydrant,Hydrant,34.99021936,-90.03238123,red,Hydrant
31465134,Hydrant,Hydrant,34.96784595,-89.96334438,red,Hydrant
31465135,Hydrant,Hydrant,34.96743895,-89.96053733,red,Hydrant
31465136,Hydrant,Hydrant,34.96735907,-89.95884744,red,Hydrant
31465137,Hydrant,Hydrant,34.96756748,-89.95715561,red,Hydrant
31465138,Hydrant,Hydrant,34.96842029,-89.96085676,red,Hydrant
31465139,Hydrant,Hydrant,34.96827636,-89.95796290,red,Hydrant
31465140,Hydrant,Hydrant,34.96797251,-89.95930698,red,Hydrant
31465141,Hydrant,Hydrant,34.96671273,-89.95919401,red,Hydrant
31465142,Hydrant,Hydrant,34.96660140,-89.96091828,red,Hydrant
31465143,Hydrant,Hydrant,34.96739171,-89.96174467,red,Hydrant
31465144,Hydrant,Hydrant,34.96868371,-89.96178002,red,Hydrant
31465145,Hydrant,Hydrant,34.96659152,-89.96281123,red,Hydrant
31465146,Hydrant,Hydrant,34.96925118,-89.96277773,red,Hydrant
31465147,Hydrant,Hydrant,34.96935735,-89.96119623,red,Hydrant
31465148,Hydrant,Hydrant,34.96934626,-89.95965052,red,Hydrant
31465149,Hydrant,Hydrant,34.96924982,-89.95812649,red,Hydrant
31465150,Hydrant,Hydrant,34.96876039,-89.95561655,red,Hydrant
31465151,Hydrant,Hydrant,34.96834497,-89.95677841,red,Hydrant
31465152,Hydrant,Hydrant,34.96802663,-89.95552523,red,Hydrant
31465153,Hydrant,Hydrant,34.96651525,-89.95608026,red,Hydrant
31465154,Hydrant,Hydrant,34.97914437,-89.99813115,red,Hydrant
31465155,Hydrant,Hydrant,34.98133073,-89.99739796,red,Hydrant
31465156,Hydrant,Hydrant,34.97934575,-89.99709768,red,Hydrant
31465157,Hydrant,Hydrant,34.97939736,-89.99608369,red,Hydrant
31465158,Hydrant,Hydrant,34.98089058,-89.99502091,red,Hydrant
31465159,Hydrant,Hydrant,34.97827370,-89.99508705,red,Hydrant
31465160,Hydrant,Hydrant,34.97932422,-89.99404061,red,Hydrant
31465161,Hydrant,Hydrant,34.97834559,-89.99304352,red,Hydrant
31465162,Hydrant,Hydrant,34.98103516,-89.99209861,red,Hydrant
31465163,Hydrant,Hydrant,34.97888961,-89.99201302,red,Hydrant
31465164,Hydrant,Hydrant,34.98140987,-89.99985009,red,Hydrant
31465165,Hydrant,Hydrant,34.98107654,-90.00062146,red,Hydrant
31465166,Hydrant,Hydrant,34.98063781,-89.99987198,red,Hydrant
31465167,Hydrant,Hydrant,34.97987347,-89.99989384,red,Hydrant
31465168,Hydrant,Hydrant,34.97953473,-90.00066145,red,Hydrant
31465169,Hydrant,Hydrant,34.97909369,-89.99991577,red,Hydrant
31465170,Hydrant,Hydrant,34.99269726,-89.99453243,red,Hydrant
31465171,Hydrant,Hydrant,34.84628644,-89.98309585,red,Hydrant
31465172,Hydrant,Hydrant,34.98457727,-90.01148472,red,Hydrant
31465173,Hydrant,Hydrant,34.98459092,-90.00996476,red,Hydrant
